pzv|passgr|Zon|view|probability|score
26d4eecc765375fb89e32aac4fd73bb2_z4_v32_|26d4eecc765375fb89e32aac4fd73bb2|Zone5|32|0.00|0.00
3055e50cc9f2f9c1b8f6527c84c06fe4_z3_v0_|3055e50cc9f2f9c1b8f6527c84c06fe4|Zone4|0|0.00|9.00
3055e50cc9f2f9c1b8f6527c84c06fe4_z3_v32_|3055e50cc9f2f9c1b8f6527c84c06fe4|Zone4|32|0.00|9.00
3055e50cc9f2f9c1b8f6527c84c06fe4_z4_v32_|3055e50cc9f2f9c1b8f6527c84c06fe4|Zone5|32|0.00|0.00
37acb3827a8b9421866d55863974600a_z4_v32_|37acb3827a8b9421866d55863974600a|Zone5|32|0.00|0.00
3921e192b260902666bb7dde3b550f0d_z4_v32_|3921e192b260902666bb7dde3b550f0d|Zone5|32|0.00|0.00
3ea9575fe8926bbb01e02b77c0802668_z4_v32_|3ea9575fe8926bbb01e02b77c0802668|Zone5|32|0.00|0.00
41584b1d4a8308a51cfb3782ca10661f_z4_v32_|41584b1d4a8308a51cfb3782ca10661f|Zone5|32|0.00|0.00
4275a47cbd350f67c9691d7b52313ac1_z4_v32_|4275a47cbd350f67c9691d7b52313ac1|Zone5|32|0.00|0.00
3055e50cc9f2f9c1b8f6527c84c06fe4_z1_v0_|3055e50cc9f2f9c1b8f6527c84c06fe4|Zone2|0|0.00|9.00
3055e50cc9f2f9c1b8f6527c84c06fe4_z1_v32_|3055e50cc9f2f9c1b8f6527c84c06fe4|Zone2|32|0.00|9.00
1b5a2e294e7859c823c86add54067bba_z4_v32_|1b5a2e294e7859c823c86add54067bba|Zone5|32|0.00|0.00
26d63758f946b7eaf3193fe507b08571_z3_v32_|26d63758f946b7eaf3193fe507b08571|Zone4|32|0.00|9.00
26d63758f946b7eaf3193fe507b08571_z4_v32_|26d63758f946b7eaf3193fe507b08571|Zone5|32|0.00|0.00
2f2104901d6944e40045ad4a02cc2632_z4_v32_|2f2104901d6944e40045ad4a02cc2632|Zone5|32|0.00|0.00
38fc68a6f96f24396d7ad4ebf53b7197_z3_v0_|38fc68a6f96f24396d7ad4ebf53b7197|Zone4|0|0.00|9.00
38fc68a6f96f24396d7ad4ebf53b7197_z3_v32_|38fc68a6f96f24396d7ad4ebf53b7197|Zone4|32|0.00|9.00
38fc68a6f96f24396d7ad4ebf53b7197_z4_v32_|38fc68a6f96f24396d7ad4ebf53b7197|Zone5|32|0.00|0.00
39e24e8b496687ae94ef38636d37f0a2_z4_v32_|39e24e8b496687ae94ef38636d37f0a2|Zone5|32|0.00|0.00
26d63758f946b7eaf3193fe507b08571_z1_v32_|26d63758f946b7eaf3193fe507b08571|Zone2|32|0.00|9.00
38fc68a6f96f24396d7ad4ebf53b7197_z1_v0_|38fc68a6f96f24396d7ad4ebf53b7197|Zone2|0|0.00|9.00
38fc68a6f96f24396d7ad4ebf53b7197_z1_v32_|38fc68a6f96f24396d7ad4ebf53b7197|Zone2|32|0.00|9.00
1bb32f6a0d5829633a8b0d531aa201e7_z3_v0_|1bb32f6a0d5829633a8b0d531aa201e7|Zone4|0|0.00|0.00
1bb32f6a0d5829633a8b0d531aa201e7_z3_v32_|1bb32f6a0d5829633a8b0d531aa201e7|Zone4|32|0.00|9.00
1bb32f6a0d5829633a8b0d531aa201e7_z4_v32_|1bb32f6a0d5829633a8b0d531aa201e7|Zone5|32|0.00|0.00
24ec60a9ea553984849b791abd141986_z3_v0_|24ec60a9ea553984849b791abd141986|Zone4|0|0.00|9.00
24ec60a9ea553984849b791abd141986_z3_v32_|24ec60a9ea553984849b791abd141986|Zone4|32|0.00|9.00
24ec60a9ea553984849b791abd141986_z4_v32_|24ec60a9ea553984849b791abd141986|Zone5|32|1.00|0.00
32c02b878c90e0a2b2a6d02bef41943c_z3_v0_|32c02b878c90e0a2b2a6d02bef41943c|Zone4|0|0.00|9.00
32c02b878c90e0a2b2a6d02bef41943c_z3_v32_|32c02b878c90e0a2b2a6d02bef41943c|Zone4|32|0.00|0.00
32c02b878c90e0a2b2a6d02bef41943c_z4_v32_|32c02b878c90e0a2b2a6d02bef41943c|Zone5|32|0.00|0.00
32ea1946c9a861747b9a250c4b1b34e2_z4_v32_|32ea1946c9a861747b9a250c4b1b34e2|Zone5|32|0.00|0.00
33199050692069e192511f1fa62535ef_z3_v0_|33199050692069e192511f1fa62535ef|Zone4|0|0.00|9.00
33199050692069e192511f1fa62535ef_z3_v32_|33199050692069e192511f1fa62535ef|Zone4|32|0.00|9.00
33199050692069e192511f1fa62535ef_z4_v32_|33199050692069e192511f1fa62535ef|Zone5|32|0.00|0.00
453a48a20387cc1a0e19b6147a48ff69_z3_v32_|453a48a20387cc1a0e19b6147a48ff69|Zone4|32|0.00|9.00
453a48a20387cc1a0e19b6147a48ff69_z4_v32_|453a48a20387cc1a0e19b6147a48ff69|Zone5|32|0.00|0.00
1e4a14d2e1eb381b773446de1c0c0b7e_z1_v32_|1e4a14d2e1eb381b773446de1c0c0b7e|Zone2|32|0.00|9.00
26d63758f946b7eaf3193fe507b08571_z1_v0_|26d63758f946b7eaf3193fe507b08571|Zone2|0|0.00|9.00
1bb32f6a0d5829633a8b0d531aa201e7_z1_v0_|1bb32f6a0d5829633a8b0d531aa201e7|Zone2|0|0.00|9.00
1bb32f6a0d5829633a8b0d531aa201e7_z1_v32_|1bb32f6a0d5829633a8b0d531aa201e7|Zone2|32|0.00|9.00
24ec60a9ea553984849b791abd141986_z1_v0_|24ec60a9ea553984849b791abd141986|Zone2|0|0.00|9.00
24ec60a9ea553984849b791abd141986_z1_v32_|24ec60a9ea553984849b791abd141986|Zone2|32|0.00|9.00
32c02b878c90e0a2b2a6d02bef41943c_z1_v0_|32c02b878c90e0a2b2a6d02bef41943c|Zone2|0|0.00|9.00
32c02b878c90e0a2b2a6d02bef41943c_z1_v32_|32c02b878c90e0a2b2a6d02bef41943c|Zone2|32|0.00|9.00
33199050692069e192511f1fa62535ef_z1_v0_|33199050692069e192511f1fa62535ef|Zone2|0|0.00|9.00
33199050692069e192511f1fa62535ef_z1_v32_|33199050692069e192511f1fa62535ef|Zone2|32|0.00|9.00
453a48a20387cc1a0e19b6147a48ff69_z1_v32_|453a48a20387cc1a0e19b6147a48ff69|Zone2|32|0.00|9.00
0043db5e8c819bffc15261b1f1ac5e42_z3_v0_|0043db5e8c819bffc15261b1f1ac5e42|Zone4|0|0.00|0.00
0043db5e8c819bffc15261b1f1ac5e42_z3_v32_|0043db5e8c819bffc15261b1f1ac5e42|Zone4|32|0.00|0.00
0043db5e8c819bffc15261b1f1ac5e42_z4_v32_|0043db5e8c819bffc15261b1f1ac5e42|Zone5|32|0.00|0.00
0097503ee9fa0606559c56458b281a08_z3_v0_|0097503ee9fa0606559c56458b281a08|Zone4|0|0.00|9.00
0097503ee9fa0606559c56458b281a08_z4_v32_|0097503ee9fa0606559c56458b281a08|Zone5|32|0.00|0.00
011516ab0eca7cad7f5257672ddde70e_z4_v32_|011516ab0eca7cad7f5257672ddde70e|Zone5|32|0.00|0.00
09a8fdd43905244c6626e15385c9ae22_z3_v0_|09a8fdd43905244c6626e15385c9ae22|Zone4|0|0.00|9.00
09a8fdd43905244c6626e15385c9ae22_z3_v32_|09a8fdd43905244c6626e15385c9ae22|Zone4|32|0.00|9.00
09a8fdd43905244c6626e15385c9ae22_z4_v32_|09a8fdd43905244c6626e15385c9ae22|Zone5|32|1.00|0.00
0e34d284cb190a79e3316d1926061bc3_z4_v32_|0e34d284cb190a79e3316d1926061bc3|Zone5|32|0.00|0.00
0ef7902f1cbb4c7a4bef3a971f2b7937_z4_v32_|0ef7902f1cbb4c7a4bef3a971f2b7937|Zone5|32|0.00|0.00
1020e08af89e2f679f27b4630e55f798_z3_v0_|1020e08af89e2f679f27b4630e55f798|Zone4|0|0.00|0.00
1020e08af89e2f679f27b4630e55f798_z3_v32_|1020e08af89e2f679f27b4630e55f798|Zone4|32|0.00|9.00
1020e08af89e2f679f27b4630e55f798_z4_v32_|1020e08af89e2f679f27b4630e55f798|Zone5|32|0.00|0.00
182b45858c9216006a1056d004c55215_z4_v32_|182b45858c9216006a1056d004c55215|Zone5|32|0.00|0.00
1960477b8082bfc2c5347c7aa7017369_z4_v32_|1960477b8082bfc2c5347c7aa7017369|Zone5|32|0.00|0.00
239ca19250385147d033bd627592c582_z4_v32_|239ca19250385147d033bd627592c582|Zone5|32|0.00|0.00
3204ba42f05e0839410721e0bb4ab892_z4_v32_|3204ba42f05e0839410721e0bb4ab892|Zone5|32|0.00|0.00
3e5e4ede1b6a4ec767480b261336b1b5_z4_v32_|3e5e4ede1b6a4ec767480b261336b1b5|Zone5|32|0.00|0.00
452d00e6fb36895567f246b9df3bd947_z4_v32_|452d00e6fb36895567f246b9df3bd947|Zone5|32|0.00|0.00
45cd53f9ee0ba8fef7b16b5aa061f960_z3_v0_|45cd53f9ee0ba8fef7b16b5aa061f960|Zone4|0|1.00|9.00
45cd53f9ee0ba8fef7b16b5aa061f960_z3_v32_|45cd53f9ee0ba8fef7b16b5aa061f960|Zone4|32|1.00|9.00
45cd53f9ee0ba8fef7b16b5aa061f960_z4_v32_|45cd53f9ee0ba8fef7b16b5aa061f960|Zone5|32|0.00|0.00
1e4a14d2e1eb381b773446de1c0c0b7e_z1_v0_|1e4a14d2e1eb381b773446de1c0c0b7e|Zone2|0|0.00|9.00
26d63758f946b7eaf3193fe507b08571_z3_v0_|26d63758f946b7eaf3193fe507b08571|Zone4|0|0.00|9.00
453a48a20387cc1a0e19b6147a48ff69_z3_v0_|453a48a20387cc1a0e19b6147a48ff69|Zone4|0|0.00|9.00
0043db5e8c819bffc15261b1f1ac5e42_z1_v0_|0043db5e8c819bffc15261b1f1ac5e42|Zone2|0|0.00|0.00
0043db5e8c819bffc15261b1f1ac5e42_z1_v32_|0043db5e8c819bffc15261b1f1ac5e42|Zone2|32|0.00|9.00
0097503ee9fa0606559c56458b281a08_z1_v0_|0097503ee9fa0606559c56458b281a08|Zone2|0|0.00|9.00
0097503ee9fa0606559c56458b281a08_z1_v32_|0097503ee9fa0606559c56458b281a08|Zone2|32|0.00|9.00
09a8fdd43905244c6626e15385c9ae22_z1_v0_|09a8fdd43905244c6626e15385c9ae22|Zone2|0|0.00|9.00
09a8fdd43905244c6626e15385c9ae22_z1_v32_|09a8fdd43905244c6626e15385c9ae22|Zone2|32|0.00|9.00
1020e08af89e2f679f27b4630e55f798_z1_v0_|1020e08af89e2f679f27b4630e55f798|Zone2|0|0.00|0.00
1020e08af89e2f679f27b4630e55f798_z1_v32_|1020e08af89e2f679f27b4630e55f798|Zone2|32|0.00|9.00
45cd53f9ee0ba8fef7b16b5aa061f960_z1_v0_|45cd53f9ee0ba8fef7b16b5aa061f960|Zone2|0|0.00|9.00
45cd53f9ee0ba8fef7b16b5aa061f960_z1_v32_|45cd53f9ee0ba8fef7b16b5aa061f960|Zone2|32|0.00|9.00
04b32b70b4ab15cad85d43e3b5359239_z3_v0_|04b32b70b4ab15cad85d43e3b5359239|Zone4|0|0.00|9.00
04b32b70b4ab15cad85d43e3b5359239_z4_v32_|04b32b70b4ab15cad85d43e3b5359239|Zone5|32|0.00|0.00
0fbe960b8c7c5c1ddd0a650ddf8093f0_z3_v0_|0fbe960b8c7c5c1ddd0a650ddf8093f0|Zone4|0|0.00|9.00
0fbe960b8c7c5c1ddd0a650ddf8093f0_z3_v32_|0fbe960b8c7c5c1ddd0a650ddf8093f0|Zone4|32|0.00|9.00
0fbe960b8c7c5c1ddd0a650ddf8093f0_z4_v32_|0fbe960b8c7c5c1ddd0a650ddf8093f0|Zone5|32|0.00|0.00
1784b1d51fdfb02d8ba0686255287e76_z3_v0_|1784b1d51fdfb02d8ba0686255287e76|Zone4|0|0.00|9.00
1784b1d51fdfb02d8ba0686255287e76_z3_v32_|1784b1d51fdfb02d8ba0686255287e76|Zone4|32|0.00|9.00
1784b1d51fdfb02d8ba0686255287e76_z4_v32_|1784b1d51fdfb02d8ba0686255287e76|Zone5|32|0.00|0.00
29ea6e017d4f430832499a6ee9196bb0_z4_v32_|29ea6e017d4f430832499a6ee9196bb0|Zone5|32|0.00|0.00
42181583618ce4bbfbc0c4c300108bf5_z3_v0_|42181583618ce4bbfbc0c4c300108bf5|Zone4|0|0.00|9.00
42181583618ce4bbfbc0c4c300108bf5_z3_v32_|42181583618ce4bbfbc0c4c300108bf5|Zone4|32|0.00|9.00
42181583618ce4bbfbc0c4c300108bf5_z4_v32_|42181583618ce4bbfbc0c4c300108bf5|Zone5|32|1.00|0.00
0fbe960b8c7c5c1ddd0a650ddf8093f0_z1_v0_|0fbe960b8c7c5c1ddd0a650ddf8093f0|Zone2|0|0.00|9.00
0fbe960b8c7c5c1ddd0a650ddf8093f0_z1_v32_|0fbe960b8c7c5c1ddd0a650ddf8093f0|Zone2|32|0.00|9.00
1784b1d51fdfb02d8ba0686255287e76_z1_v0_|1784b1d51fdfb02d8ba0686255287e76|Zone2|0|0.00|9.00
1784b1d51fdfb02d8ba0686255287e76_z1_v32_|1784b1d51fdfb02d8ba0686255287e76|Zone2|32|0.00|9.00
42181583618ce4bbfbc0c4c300108bf5_z1_v0_|42181583618ce4bbfbc0c4c300108bf5|Zone2|0|0.00|9.00
42181583618ce4bbfbc0c4c300108bf5_z1_v32_|42181583618ce4bbfbc0c4c300108bf5|Zone2|32|0.00|9.00
090cdcef818e13089bf1898bb3fab820_z3_v0_|090cdcef818e13089bf1898bb3fab820|Zone4|0|0.00|0.00
090cdcef818e13089bf1898bb3fab820_z3_v32_|090cdcef818e13089bf1898bb3fab820|Zone4|32|0.00|9.00
090cdcef818e13089bf1898bb3fab820_z4_v32_|090cdcef818e13089bf1898bb3fab820|Zone5|32|0.00|0.00
0cc6fc725d4b8818415ddc06823fce98_z4_v32_|0cc6fc725d4b8818415ddc06823fce98|Zone5|32|0.00|0.00
12b19cfb1d7de04755420e90f3dbd08a_z3_v0_|12b19cfb1d7de04755420e90f3dbd08a|Zone4|0|0.00|9.00
12b19cfb1d7de04755420e90f3dbd08a_z3_v32_|12b19cfb1d7de04755420e90f3dbd08a|Zone4|32|0.00|0.00
12b19cfb1d7de04755420e90f3dbd08a_z4_v32_|12b19cfb1d7de04755420e90f3dbd08a|Zone5|32|1.00|0.00
14caf211cf15ef21055d859fd30d53ad_z3_v0_|14caf211cf15ef21055d859fd30d53ad|Zone4|0|0.00|0.00
14caf211cf15ef21055d859fd30d53ad_z3_v32_|14caf211cf15ef21055d859fd30d53ad|Zone4|32|0.00|0.00
14caf211cf15ef21055d859fd30d53ad_z4_v32_|14caf211cf15ef21055d859fd30d53ad|Zone5|32|0.00|0.00
155beac1a973b386fcc80b73a58fb920_z4_v32_|155beac1a973b386fcc80b73a58fb920|Zone5|32|1.00|0.00
16e075a29f9eb01d0de6dedfd739a68e_z3_v0_|16e075a29f9eb01d0de6dedfd739a68e|Zone4|0|0.00|9.00
16e075a29f9eb01d0de6dedfd739a68e_z3_v32_|16e075a29f9eb01d0de6dedfd739a68e|Zone4|32|0.00|9.00
16e075a29f9eb01d0de6dedfd739a68e_z4_v32_|16e075a29f9eb01d0de6dedfd739a68e|Zone5|32|0.00|0.00
190e91556f1e3e63fc40938bcb27d8b2_z4_v32_|190e91556f1e3e63fc40938bcb27d8b2|Zone5|32|0.00|0.00
1d02a6fd565d98d9002846a3f1637bb0_z3_v0_|1d02a6fd565d98d9002846a3f1637bb0|Zone4|0|0.00|9.00
1d02a6fd565d98d9002846a3f1637bb0_z3_v32_|1d02a6fd565d98d9002846a3f1637bb0|Zone4|32|0.00|9.00
1d02a6fd565d98d9002846a3f1637bb0_z4_v32_|1d02a6fd565d98d9002846a3f1637bb0|Zone5|32|0.00|0.00
2eba5056e90c67e49c05991580cc7a4e_z3_v0_|2eba5056e90c67e49c05991580cc7a4e|Zone4|0|0.00|9.00
2eba5056e90c67e49c05991580cc7a4e_z3_v32_|2eba5056e90c67e49c05991580cc7a4e|Zone4|32|0.00|9.00
2eba5056e90c67e49c05991580cc7a4e_z4_v32_|2eba5056e90c67e49c05991580cc7a4e|Zone5|32|0.00|0.00
4145cfa8001fe6b6cae5c52704aee79a_z4_v32_|4145cfa8001fe6b6cae5c52704aee79a|Zone5|32|0.00|0.00
416a6888eb7ad8c4416fe0b620435136_z3_v0_|416a6888eb7ad8c4416fe0b620435136|Zone4|0|1.00|0.00
416a6888eb7ad8c4416fe0b620435136_z3_v32_|416a6888eb7ad8c4416fe0b620435136|Zone4|32|1.00|0.00
416a6888eb7ad8c4416fe0b620435136_z4_v32_|416a6888eb7ad8c4416fe0b620435136|Zone5|32|0.00|0.00
04b32b70b4ab15cad85d43e3b5359239_z3_v32_|04b32b70b4ab15cad85d43e3b5359239|Zone4|32|0.00|9.00
090cdcef818e13089bf1898bb3fab820_z1_v0_|090cdcef818e13089bf1898bb3fab820|Zone2|0|0.00|9.00
090cdcef818e13089bf1898bb3fab820_z1_v32_|090cdcef818e13089bf1898bb3fab820|Zone2|32|0.00|9.00
12b19cfb1d7de04755420e90f3dbd08a_z1_v0_|12b19cfb1d7de04755420e90f3dbd08a|Zone2|0|0.00|9.00
12b19cfb1d7de04755420e90f3dbd08a_z1_v32_|12b19cfb1d7de04755420e90f3dbd08a|Zone2|32|0.00|9.00
14caf211cf15ef21055d859fd30d53ad_z1_v0_|14caf211cf15ef21055d859fd30d53ad|Zone2|0|0.00|0.00
14caf211cf15ef21055d859fd30d53ad_z1_v32_|14caf211cf15ef21055d859fd30d53ad|Zone2|32|0.00|0.00
16e075a29f9eb01d0de6dedfd739a68e_z1_v0_|16e075a29f9eb01d0de6dedfd739a68e|Zone2|0|0.00|9.00
16e075a29f9eb01d0de6dedfd739a68e_z1_v32_|16e075a29f9eb01d0de6dedfd739a68e|Zone2|32|0.00|9.00
1d02a6fd565d98d9002846a3f1637bb0_z1_v0_|1d02a6fd565d98d9002846a3f1637bb0|Zone2|0|0.00|9.00
1d02a6fd565d98d9002846a3f1637bb0_z1_v32_|1d02a6fd565d98d9002846a3f1637bb0|Zone2|32|0.00|9.00
2eba5056e90c67e49c05991580cc7a4e_z1_v0_|2eba5056e90c67e49c05991580cc7a4e|Zone2|0|1.00|9.00
2eba5056e90c67e49c05991580cc7a4e_z1_v32_|2eba5056e90c67e49c05991580cc7a4e|Zone2|32|1.00|9.00
416a6888eb7ad8c4416fe0b620435136_z1_v32_|416a6888eb7ad8c4416fe0b620435136|Zone2|32|0.00|0.00
05aea64cd02c88b94d0663be46f4d2bf_z3_v0_|05aea64cd02c88b94d0663be46f4d2bf|Zone4|0|0.00|0.00
05aea64cd02c88b94d0663be46f4d2bf_z3_v32_|05aea64cd02c88b94d0663be46f4d2bf|Zone4|32|0.00|9.00
05aea64cd02c88b94d0663be46f4d2bf_z4_v32_|05aea64cd02c88b94d0663be46f4d2bf|Zone5|32|0.00|0.00
137cd2942a4d022921fda492ff79d40f_z3_v0_|137cd2942a4d022921fda492ff79d40f|Zone4|0|1.00|9.00
137cd2942a4d022921fda492ff79d40f_z3_v32_|137cd2942a4d022921fda492ff79d40f|Zone4|32|1.00|9.00
137cd2942a4d022921fda492ff79d40f_z4_v32_|137cd2942a4d022921fda492ff79d40f|Zone5|32|0.00|0.00
158c596536e90a3edb3c84dbecc29420_z4_v32_|158c596536e90a3edb3c84dbecc29420|Zone5|32|1.00|0.00
1a9fab80d9712972c7381efd891b4688_z4_v32_|1a9fab80d9712972c7381efd891b4688|Zone5|32|0.00|0.00
1e46c8904d64b835cbe5d0927579f322_z3_v0_|1e46c8904d64b835cbe5d0927579f322|Zone4|0|0.00|9.00
1e46c8904d64b835cbe5d0927579f322_z3_v32_|1e46c8904d64b835cbe5d0927579f322|Zone4|32|0.00|0.00
1e46c8904d64b835cbe5d0927579f322_z4_v32_|1e46c8904d64b835cbe5d0927579f322|Zone5|32|0.00|0.00
2adbc01f4fb001d190cb220079444d74_z4_v32_|2adbc01f4fb001d190cb220079444d74|Zone5|32|0.00|0.00
2e5821e97acd99609b783e28e2195e27_z3_v0_|2e5821e97acd99609b783e28e2195e27|Zone4|0|0.00|9.00
2e5821e97acd99609b783e28e2195e27_z3_v32_|2e5821e97acd99609b783e28e2195e27|Zone4|32|0.00|9.00
2e5821e97acd99609b783e28e2195e27_z4_v32_|2e5821e97acd99609b783e28e2195e27|Zone5|32|0.00|0.00
2fb6b8e6309e8ab92b11fed34d7c2c17_z3_v0_|2fb6b8e6309e8ab92b11fed34d7c2c17|Zone4|0|0.00|9.00
2fb6b8e6309e8ab92b11fed34d7c2c17_z3_v32_|2fb6b8e6309e8ab92b11fed34d7c2c17|Zone4|32|0.00|9.00
2fb6b8e6309e8ab92b11fed34d7c2c17_z4_v32_|2fb6b8e6309e8ab92b11fed34d7c2c17|Zone5|32|0.00|0.00
340e903fdb6b4d63202fd141638f244d_z3_v0_|340e903fdb6b4d63202fd141638f244d|Zone4|0|0.00|9.00
340e903fdb6b4d63202fd141638f244d_z3_v32_|340e903fdb6b4d63202fd141638f244d|Zone4|32|0.00|9.00
340e903fdb6b4d63202fd141638f244d_z4_v32_|340e903fdb6b4d63202fd141638f244d|Zone5|32|0.00|0.00
3a91793165eba55b979b47b47ce514e8_z3_v0_|3a91793165eba55b979b47b47ce514e8|Zone4|0|0.00|9.00
3a91793165eba55b979b47b47ce514e8_z3_v32_|3a91793165eba55b979b47b47ce514e8|Zone4|32|0.00|0.00
3a91793165eba55b979b47b47ce514e8_z4_v32_|3a91793165eba55b979b47b47ce514e8|Zone5|32|0.00|0.00
3c29df87d4c6d7d5681ef1e43a5b54aa_z4_v32_|3c29df87d4c6d7d5681ef1e43a5b54aa|Zone5|32|0.00|0.00
423c80e97b7318ef23c2eca3da2b000c_z3_v0_|423c80e97b7318ef23c2eca3da2b000c|Zone4|0|0.00|0.00
423c80e97b7318ef23c2eca3da2b000c_z3_v32_|423c80e97b7318ef23c2eca3da2b000c|Zone4|32|0.00|0.00
423c80e97b7318ef23c2eca3da2b000c_z4_v32_|423c80e97b7318ef23c2eca3da2b000c|Zone5|32|0.00|0.00
4374545e0e29d0c17cacb7d4453498b0_z3_v0_|4374545e0e29d0c17cacb7d4453498b0|Zone4|0|0.00|9.00
4374545e0e29d0c17cacb7d4453498b0_z3_v32_|4374545e0e29d0c17cacb7d4453498b0|Zone4|32|0.00|0.00
4374545e0e29d0c17cacb7d4453498b0_z4_v32_|4374545e0e29d0c17cacb7d4453498b0|Zone5|32|0.00|0.00
43a60ca08049962b96f62ea5658e0d63_z4_v32_|43a60ca08049962b96f62ea5658e0d63|Zone5|32|0.00|0.00
45073233709552ca8bc433e39b469b69_z4_v32_|45073233709552ca8bc433e39b469b69|Zone5|32|0.00|0.00
1960477b8082bfc2c5347c7aa7017369_z1_v32_|1960477b8082bfc2c5347c7aa7017369|Zone2|32|0.00|9.00
05aea64cd02c88b94d0663be46f4d2bf_z1_v0_|05aea64cd02c88b94d0663be46f4d2bf|Zone2|0|1.00|9.00
05aea64cd02c88b94d0663be46f4d2bf_z1_v32_|05aea64cd02c88b94d0663be46f4d2bf|Zone2|32|1.00|9.00
137cd2942a4d022921fda492ff79d40f_z1_v0_|137cd2942a4d022921fda492ff79d40f|Zone2|0|1.00|9.00
137cd2942a4d022921fda492ff79d40f_z1_v32_|137cd2942a4d022921fda492ff79d40f|Zone2|32|1.00|9.00
1e46c8904d64b835cbe5d0927579f322_z1_v0_|1e46c8904d64b835cbe5d0927579f322|Zone2|0|0.00|0.00
1e46c8904d64b835cbe5d0927579f322_z1_v32_|1e46c8904d64b835cbe5d0927579f322|Zone2|32|0.00|0.00
2e5821e97acd99609b783e28e2195e27_z1_v0_|2e5821e97acd99609b783e28e2195e27|Zone2|0|0.00|9.00
2e5821e97acd99609b783e28e2195e27_z1_v32_|2e5821e97acd99609b783e28e2195e27|Zone2|32|0.00|9.00
2fb6b8e6309e8ab92b11fed34d7c2c17_z1_v0_|2fb6b8e6309e8ab92b11fed34d7c2c17|Zone2|0|0.00|9.00
2fb6b8e6309e8ab92b11fed34d7c2c17_z1_v32_|2fb6b8e6309e8ab92b11fed34d7c2c17|Zone2|32|0.00|9.00
340e903fdb6b4d63202fd141638f244d_z1_v0_|340e903fdb6b4d63202fd141638f244d|Zone2|0|1.00|9.00
340e903fdb6b4d63202fd141638f244d_z1_v32_|340e903fdb6b4d63202fd141638f244d|Zone2|32|1.00|9.00
3a91793165eba55b979b47b47ce514e8_z1_v0_|3a91793165eba55b979b47b47ce514e8|Zone2|0|0.00|9.00
3a91793165eba55b979b47b47ce514e8_z1_v32_|3a91793165eba55b979b47b47ce514e8|Zone2|32|0.00|9.00
3c29df87d4c6d7d5681ef1e43a5b54aa_z1_v32_|3c29df87d4c6d7d5681ef1e43a5b54aa|Zone2|32|0.00|0.00
423c80e97b7318ef23c2eca3da2b000c_z1_v0_|423c80e97b7318ef23c2eca3da2b000c|Zone2|0|0.00|9.00
423c80e97b7318ef23c2eca3da2b000c_z1_v32_|423c80e97b7318ef23c2eca3da2b000c|Zone2|32|0.00|9.00
4374545e0e29d0c17cacb7d4453498b0_z1_v0_|4374545e0e29d0c17cacb7d4453498b0|Zone2|0|0.00|9.00
4374545e0e29d0c17cacb7d4453498b0_z1_v32_|4374545e0e29d0c17cacb7d4453498b0|Zone2|32|0.00|0.00
05709d5e54f8fdc77fe233cf7df78b81_z4_v32_|05709d5e54f8fdc77fe233cf7df78b81|Zone5|32|0.00|0.00
097dd567939b9ec200cbc29749fec135_z4_v32_|097dd567939b9ec200cbc29749fec135|Zone5|32|0.00|0.00
